Player,Year,,First Place,Top 10,Other
,,,,,
Jordan Spieth,2014,,8.8,7.8,7.6
Rory McIlroy,2009,,null,7.8,8.8
Bubba Watson,2008,,7.5,7.5,8.7
Sergio García,1999,,7.6,8.4,9
Tiger Woods,1995,,11.6,10,8.7
Ernie Els,1994,,null,9.4,9.8
Vijay Singh,1994,,10,8.8,9.5
Phil Mickelson,1991,,8.8,9.3,8.8
Jose Maria Olazabal,1985,,9.1,8.7,9.9
Bernhard Langer,1982,,7.3,9.5,9.2
Greg Norman,1981,,null,9.4,8.6
Nick Faldo,1979,,9.9,9.9,8.7
Seve Ballesteros,1977,,8,8.8,8.8
Ben Crenshaw,1972,,9.3,9.3,9.6
Tom Watson,1970,,9.8,9.6,8.9
Lee Trevino,1968,,null,9.9,9.1
Jack Nicklaus,1959,,10.4,9.5,8.9
Billy Casper,1957,,8.3,9.3,9
Gary Player,1957,,8.2,8.7,9.4
Arnold Palmer,1955,,8.6,8.8,9.2